"","DRAWSEQ","fips"
"1",1,15
"2",2,53
"3",3,30
"4",4,23
"5",5,38
"6",6,46
"7",7,56
"8",8,55
"9",9,16
"10",10,50
"11",11,27
"12",12,41
"13",13,33
"14",14,19
"15",15,25
"16",16,31
"17",17,36
"18",18,42
"19",19,9
"20",20,44
"21",21,34
"22",22,18
"23",23,32
"24",24,49
"25",25,6
"26",26,39
"27",27,17
"28",28,11
"29",29,10
"30",30,54
"31",31,24
"32",32,8
"33",33,21
"34",34,20
"35",35,51
"36",36,29
"37",37,4
"38",38,40
"39",39,37
"40",40,47
"41",41,48
"42",42,35
"43",43,1
"44",44,28
"45",45,13
"46",46,45
"47",47,5
"48",48,22
"49",49,12
"50",50,26
"51",51,2
