"","STATE_NAME","DRAWSEQ","fips","SUB_REGION","STATE_ABBR"
"0","Hawaii",1,15,"Pacific","HI"
"1","Washington",2,53,"Pacific","WA"
"2","Montana",3,30,"Mountain","MT"
"3","Maine",4,23,"New England","ME"
"4","North Dakota",5,38,"West North Central","ND"
"5","South Dakota",6,46,"West North Central","SD"
"6","Wyoming",7,56,"Mountain","WY"
"7","Wisconsin",8,55,"East North Central","WI"
"8","Idaho",9,16,"Mountain","ID"
"9","Vermont",10,50,"New England","VT"
"10","Minnesota",11,27,"West North Central","MN"
"11","Oregon",12,41,"Pacific","OR"
"12","New Hampshire",13,33,"New England","NH"
"13","Iowa",14,19,"West North Central","IA"
"14","Massachusetts",15,25,"New England","MA"
"15","Nebraska",16,31,"West North Central","NE"
"16","New York",17,36,"Middle Atlantic","NY"
"17","Pennsylvania",18,42,"Middle Atlantic","PA"
"18","Connecticut",19,9,"New England","CT"
"19","Rhode Island",20,44,"New England","RI"
"20","New Jersey",21,34,"Middle Atlantic","NJ"
"21","Indiana",22,18,"East North Central","IN"
"22","Nevada",23,32,"Mountain","NV"
"23","Utah",24,49,"Mountain","UT"
"24","California",25,6,"Pacific","CA"
"25","Ohio",26,39,"East North Central","OH"
"26","Illinois",27,17,"East North Central","IL"
"27","District of Columbia",28,11,"South Atlantic","DC"
"28","Delaware",29,10,"South Atlantic","DE"
"29","West Virginia",30,54,"South Atlantic","WV"
"30","Maryland",31,24,"South Atlantic","MD"
"31","Colorado",32,8,"Mountain","CO"
"32","Kentucky",33,21,"East South Central","KY"
"33","Kansas",34,20,"West North Central","KS"
"34","Virginia",35,51,"South Atlantic","VA"
"35","Missouri",36,29,"West North Central","MO"
"36","Arizona",37,4,"Mountain","AZ"
"37","Oklahoma",38,40,"West South Central","OK"
"38","North Carolina",39,37,"South Atlantic","NC"
"39","Tennessee",40,47,"East South Central","TN"
"40","Texas",41,48,"West South Central","TX"
"41","New Mexico",42,35,"Mountain","NM"
"42","Alabama",43,1,"East South Central","AL"
"43","Mississippi",44,28,"East South Central","MS"
"44","Georgia",45,13,"South Atlantic","GA"
"45","South Carolina",46,45,"South Atlantic","SC"
"46","Arkansas",47,5,"West South Central","AR"
"47","Louisiana",48,22,"West South Central","LA"
"48","Florida",49,12,"South Atlantic","FL"
"49","Michigan",50,26,"East North Central","MI"
"50","Alaska",51,2,"Pacific","AK"
