"","model.2.mean","model.2.ll","model.2.ul","age","sex","cause"
"1",0.00725617714965998,-0.00566782605929832,0.0206522367574943,0,2,"Road traffic accidents"
"2",0.00749519453708253,-0.0056482411896806,0.0211209635661483,0,2,"Road traffic accidents"
"3",0.00692847276544798,-0.00704037266650411,0.0209883187099612,0,2,"Road traffic accidents"
"4",0.00858519113694253,-0.00582721107215094,0.0244658130051265,0,2,"Road traffic accidents"
"5",0.00575718978827945,-0.00972500371342133,0.0207945731751849,0,2,"Road traffic accidents"
"6",0.00548707890162788,-0.0105927645815102,0.0211348539823249,0,2,"Road traffic accidents"
"7",0.00556535451678047,-0.0107550553591478,0.0216818209190782,0,2,"Road traffic accidents"
"8",0.00411397952075931,-0.0130798351069208,0.0199904899569653,0,2,"Road traffic accidents"
"9",0.0052266448438974,-0.011145208485837,0.0212537403889412,0,2,"Road traffic accidents"
"10",0.0049552572534505,-0.0108079163236347,0.0201323425217333,0,2,"Road traffic accidents"
"11",0.00546392110158097,-0.00889246902412227,0.0195799017151303,0,2,"Road traffic accidents"
"12",0.0053818853946047,-0.0078861032051122,0.0182927471215541,0,2,"Road traffic accidents"
"13",0.00332426539906681,-0.00587625834528524,0.0126609030848434,35,2,"Road traffic accidents"
"14",0.00431777596291942,-0.00498569697327044,0.0143615900909973,35,2,"Road traffic accidents"
"15",0.00011819308994344,-0.0112424035510004,0.0103135305475097,35,2,"Road traffic accidents"
"16",-0.00307759790679069,-0.0183141044038442,0.00881318988663867,35,2,"Road traffic accidents"
"17",0.00534107730818442,-0.00628411838785714,0.017903703817768,35,2,"Road traffic accidents"
"18",0.010086521167459,-0.00245303222605648,0.0257494330634862,35,2,"Road traffic accidents"
"19",0.00772277146708674,-0.00476929011107144,0.0217462576082619,35,2,"Road traffic accidents"
"20",0.00427774197786264,-0.00921629182248477,0.0170555998366112,35,2,"Road traffic accidents"
"21",0.00437419564213884,-0.008822100407013,0.0170974674503618,35,2,"Road traffic accidents"
"22",0.00535258615989533,-0.00641343974956993,0.0174744226838598,35,2,"Road traffic accidents"
"23",0.00685651178240223,-0.00318554114833556,0.018256790787242,35,2,"Road traffic accidents"
"24",0.00122162698128364,-0.00840497898486522,0.010019679464582,35,2,"Road traffic accidents"
"25",0.00109702534527416,-0.00805049880064477,0.0106730037658522,55,2,"Road traffic accidents"
"26",0.000412802144864201,-0.00910563500303117,0.00992796291363728,55,2,"Road traffic accidents"
"27",-0.000809137143839363,-0.011790371206384,0.00944883154190222,55,2,"Road traffic accidents"
"28",0.000522396815025589,-0.0113835182596426,0.0120051254787104,55,2,"Road traffic accidents"
"29",0.00271255186111897,-0.00923299140683474,0.015091584062782,55,2,"Road traffic accidents"
"30",0.0049670521336738,-0.00734795225255805,0.0187486966369092,55,2,"Road traffic accidents"
"31",0.00478868923617156,-0.00779514586544338,0.0185604121728363,55,2,"Road traffic accidents"
"32",0.00640620756566587,-0.00619037595223041,0.0213005932208765,55,2,"Road traffic accidents"
"33",0.00431817935955445,-0.00799834384687954,0.0180169034243779,55,2,"Road traffic accidents"
"34",0.00281536279392367,-0.00861782051243284,0.015273579938166,55,2,"Road traffic accidents"
"35",-0.00234132930607063,-0.0137421289753982,0.00778627321797814,55,2,"Road traffic accidents"
"36",-0.001693957244239,-0.011101657766978,0.00718400212751395,55,2,"Road traffic accidents"
"37",0.011186830386804,0.0022184536443564,0.0205602688873564,65,2,"Road traffic accidents"
"38",0.0133510051436648,0.00404823570973645,0.0235137040056745,65,2,"Road traffic accidents"
"39",0.0125375418730463,0.00239725878390568,0.0232239017838143,65,2,"Road traffic accidents"
"40",0.0118555818484956,0.000640782572753129,0.0235327215648185,65,2,"Road traffic accidents"
"41",0.0110388632490689,-0.000632532442006581,0.0230314858503472,65,2,"Road traffic accidents"
"42",0.0100768484718257,-0.00225615733361528,0.0226200849749836,65,2,"Road traffic accidents"
"43",0.0083212833804659,-0.00459594232375981,0.020849206727701,65,2,"Road traffic accidents"
"44",0.00791332128330414,-0.00493019941644234,0.0205658230167768,65,2,"Road traffic accidents"
"45",0.0060277313526586,-0.00709132720714706,0.0181891816100788,65,2,"Road traffic accidents"
"46",0.00379416579135472,-0.00943155780392013,0.0150664587000855,65,2,"Road traffic accidents"
"47",0.00633390559269014,-0.00415903218567232,0.0162323176008891,65,2,"Road traffic accidents"
"48",0.00778685561159457,-0.00120956110449501,0.0164731618270995,65,2,"Road traffic accidents"
"49",0.0128339156744759,0.000566329444709232,0.0257143206976468,85,2,"Road traffic accidents"
"50",0.014785760078884,0.00226521970182486,0.0286559023193054,85,2,"Road traffic accidents"
"51",0.0145302850269338,0.00112624181694864,0.0294125003849796,85,2,"Road traffic accidents"
"52",0.0112577031259683,-0.0039454799006019,0.0263442488736421,85,2,"Road traffic accidents"
"53",0.00910179588097215,-0.00727686158323824,0.0244039854938777,85,2,"Road traffic accidents"
"54",0.00729928209792898,-0.0107776438214544,0.0232034076841642,85,2,"Road traffic accidents"
"55",0.00948872346913466,-0.00748899181139572,0.0263265634748816,85,2,"Road traffic accidents"
"56",0.0095251824536751,-0.00738707317808448,0.0265875666304755,85,2,"Road traffic accidents"
"57",0.00681533398041469,-0.0109835827207511,0.0227614530978377,85,2,"Road traffic accidents"
"58",0.00456205407325298,-0.013531362882701,0.0194997970755482,85,2,"Road traffic accidents"
"59",0.00666718020011427,-0.00846084657116547,0.0199970528411249,85,2,"Road traffic accidents"
"60",0.0114583989142067,-0.000619606940621147,0.023904969866794,85,2,"Road traffic accidents"
