"Cause","Age","Male","Female"
"Unintentional","0-4",70865,48684
"Unintentional","15-24",429186,139160
"Unintentional","25-34",403067,122805
"Unintentional","35-44",347122,130000
"Unintentional","45-54",302364,130867
"Unintentional","5-14",75809,39771
"Unintentional","55-64",240574,113128
"Unintentional","65-74",206529,130882
"Unintentional","75-84",234455,214896
"Unintentional","85+",179171,277994
"Intentional","0-4",14040,11285
"Intentional","15-24",323968,61755
"Intentional","25-34",347974,81327
"Intentional","35-44",271694,81969
"Intentional","45-54",215512,72086
"Intentional","5-14",16446,8707
"Intentional","55-64",150976,48457
"Intentional","65-74",103215,28856
"Intentional","75-84",75380,18481
"Intentional","85+",26529,7059
