"","age","sex","median.error","median.abs.error","rmse"
"1",0,1,0.345550518481407,0.875106744752775,1.64974697441244
"2",0,2,0.35613672471333,0.824475057673833,1.44376096474318
"3",5,1,0.164051692196438,0.432126371609897,0.917375180589757
"4",5,2,0.185484546657592,0.37168555801335,0.719296238228919
"5",15,1,0.140036127186196,0.787981114586947,1.82332164002967
"6",15,2,0.143359731259883,0.522650855722621,1.15693848065135
"7",25,1,0.136905417159297,0.794852545601525,1.78250672438188
"8",25,2,0.130630478147123,0.485342344019734,1.0608440792277
"9",35,1,0.142217186103082,0.775500987081447,1.77515231178483
"10",35,2,0.141602450209942,0.517779302336714,1.08655970610635
"11",45,1,0.177685391657391,0.886319536647465,1.98023014741947
"12",45,2,0.164955940283181,0.593116188917851,1.24993357100861
"13",55,1,0.215339597327873,1.03728822808188,2.25006024307595
"14",55,2,0.194178140499922,0.691773398187729,1.39292100430316
"15",65,1,0.34196303593368,1.46444524723084,3.13425176981127
"16",65,2,0.255574361228303,0.975953221964935,2.02396731813944
"17",75,1,0.595528035498823,3.03606128476627,6.49729558729787
"18",75,2,0.396248898211438,1.84893458270411,3.99008992313585
"19",85,1,1.94734537397681,9.65525102667819,20.8102134753498
"20",85,2,0.87449684320957,5.00775976370488,11.1143877186079
